,Tyr,Glu,Thr
40de6cd93f5e6916efe9981f1b654661,0.212511859,-0.028571429,0.371428571
65e6d91d10567313fb8860bc27e88e13,-0.030358837,0.6,0.6
5a7745ddf557536af2f276004a34601d,0.032258065,-0.51610023,-0.576817904
be23095b79473f0d13d618b1609a51bc,-0.215614386,-0.289885518,-0.405839725
6b17a229d3ce3da099728e2c92e527e5,0.273229533,0.485714286,0.714285714
76ff22e7f1d7495bd3cdf625d8418f00,-0.35483871,-0.758970926,-0.880406274
9966ba5c81f9198836790fc38be7c474,-0.273229533,-0.371428571,-0.314285714
019eee2e0d8bf39059c307f10579fc75,-0.51610023,-0.085714286,-0.428571429
1d110b16a03bccac1abb78f1ed239d95,0.338822607,0.753702346,0.81167945
3822fee663723cbf005cb082d0847a55,-0.483870968,-0.698253252,-0.758970926
69c02a17ec051dacffd71a681c5ebf96,-0.394664881,-0.6,-0.771428571
76e10bb5703b7efdab789eb89a9e6ac9,0.212511859,-0.6,-0.428571429
9781d2b87a25af01c8e3ecf7b8836c71,0.455382556,-0.142857143,-0.2
b81162fddd279b8aa60859ca04342bf5,0.151794185,-0.485714286,-0.371428571
e8d69a5d243733b6c8c04fab167e7fc6,-0.096774194,0.8196886,0.637535578
5314e24f365ee5e7639905cea1b5bdf3,0.698253252,0.028571429,-0.028571429
b15dbb80925b44f9a159c498f6739500,-0.107763181,-0.169030851,0.06761234
0fb9e2df91752ce3bb921f04f8b04b78,0.400426717,-0.028988552,0.115954207
c3584e8b2577ece80a25caf32e0645c1,-0.35483871,-0.880406274,-0.941123948
b4e458454dbfbd0edcb0544f3b2777dc,0.032258065,-0.51610023,-0.576817904
443238200854c7f9abd0a5e65d932377,0.154010276,-0.550782484,-0.405839725
1930787479bb9ad89d941e288bdb7d23,-0.290322581,0.51610023,0.394664881
2a4384219a51593fed414036dd38e90e,-0.394664881,-0.714285714,-0.828571429
998c4426055a482c7608c9df437d2483,0.092406166,0.405839725,0.550782484
7b1823fca58438c7eabb932ca39a6c72,0.032258065,-0.151794185,-0.394664881
02a2c8eaa898567e4ef27b9df3165e19,-0.096774194,-0.576817904,-0.51610023
0d67491c914a41f276ff02aaf59a80d4,-0.462030828,-0.086965655,0.086965655
788d7378508cf4580abbc55103abd5b0,-0.273229533,-0.828571429,-0.714285714
844b61bd540094f90c50cdb6c1a4144c,0.695608344,0.130930734,0.392792202
8e071a54bfe9e9bb8af310460d4c639a,0.417365006,0.654653671,0.654653671
a7eada7bee057b060749515c0e16f945,0.89802651,0.540898723,0.777541914
24b622deb1bcd2d42baacaf5d067b5d3,-0.35483871,-0.880406274,-0.941123948
5f5b685ea46a2d5e857e5a75ecb62c88,-0.273229533,-0.371428571,-0.314285714
89cb3d6530d51908d657661220b3d047,0.419354839,0.941123948,0.880406274
e8549d75e2b93180fbfaaadd77da92b0,0.030358837,-0.371428571,-0.485714286
0c3238a0f8757bf9a754fbf9f69c49fd,-0.277218497,-0.637748139,-0.753702346
fbbdf3c8ad6337d4c6154d814a67689e,0.419354839,0.941123948,0.880406274
5ce0186f421e97323b47bbb8d8cba6bc,0.107763181,0.169030851,0.338061702
8aba09360f2f5919ee4858b01faf3858,0.139121669,-0.392792202,-0.654653671
955bf1f38625218990c4f8dcd194d5ed,-0.143684242,-0.777541914,-0.845154255
806cedabc0a54f26cf0a0a5211062f52,0.161290323,-0.758970926,-0.698253252
30dd7cee4ba25dba63d1b4c97acc4314,-0.394664881,-0.714285714,-0.828571429
3698a878b32c870099793288e3bca7f5,0.107763181,0.507092553,0.507092553
198e6eb5b22f9c769b5d55993f401c0b,0.417365006,0.654653671,0.654653671
bf43946c9effdc342a07351bb8550150,-0.417365006,-0.130930734,-0.130930734
2034d4f56f88ed9d3c91cd09ab3d2050,-0.483870968,-0.698253252,-0.758970926
3aa2a008a95ad8cbac119e066dd501e2,-0.400426717,-0.579771036,-0.637748139
a7276769b1878a2346f2c224077050ce,0.741935484,0.758970926,0.880406274
4974a65732b73da0e562a4bae11bd7d4,0.417365006,0.654653671,0.654653671
84b39a82f590ab530d2716ba26fc4461,-0.417365006,-0.654653671,-0.392792202
daa62dbcabae42159050e19a79ed4549,-0.646579087,-0.338061702,-0.270449362