Kingdom,Phylum,Class,Order,Family,Genus,Week0,Group_lefses1,Week6,Group_lefses2,Week19,Group_lefses3
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicomonadaceae,g__Endozoicomonas,4.114624556652363,Wild,4.784333179084601,Wild,4.760776266629407,Wild
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Terasakiellaceae,f__Terasakiellaceae,4.058843420750603,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Aestuariicella,3.720777120125142,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,f__Methyloligellaceae,3.4557145921682504,Tank,3.320805821167734,Tank,3.355911066650972,Tank
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Seonamhaeicola,3.421645875108339,Tank,3.4369877610026003,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,3.333823050952707,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,g__Algicola,3.2044185822685085,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,3.0388115162240386,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiomicrospirales,f__Thiomicrospiraceae,g__Thiomicrorhabdus,3.0203807880826274,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__B2M28,f__B2M28,g__B2M28,2.981656501203912,Wild,0,NotSig,0,NotSig
d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexales,g__Pseudobacteriovorax,2.815339483796792,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Gilvimarinus,2.759804108682848,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,f__Simkaniaceae,2.753274473256047,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,2.7124731762886416,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Chlamydiaceae,f__Chlamydiaceae,2.6648240267518353,Tank,0,NotSig,0,NotSig
d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,f__Spirochaetaceae,0,NotSig,5.0810459524044305,Wild,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Nautella,0,NotSig,3.5888816101445147,Tank,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Tenacibaculum,0,NotSig,3.5681267223596245,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,f__Rhodobacteraceae,0,NotSig,3.5626241047581715,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Nitrincolaceae,g__Neptuniibacter,0,NotSig,3.5124990058201306,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Kordiimonadales,f__Kordiimonadaceae,g__Kordiimonas,0,NotSig,3.335440305189021,Tank,0,NotSig
d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Acanthopleuribacterales,f__Acanthopleuribacteraceae,g__Acanthopleuribacter,0,NotSig,3.182675183201297,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tropicibacter,0,NotSig,3.1680164618483664,Tank,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Reichenbachiella,0,NotSig,3.1519347147458814,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,0,NotSig,3.0856159642874195,Tank,0,NotSig
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__Blastocatella,0,NotSig,3.0590575863700185,Tank,0,NotSig
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Crocinitomix,0,NotSig,3.0184599632208506,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,0,NotSig,3.012669739008194,Tank,2.9709907356209104,Wild
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Cellvibrio,0,NotSig,2.9895156461695342,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,f__Hyphomonadaceae,0,NotSig,2.9886204652556483,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Cognatishimia,0,NotSig,2.969713346191115,Tank,0,NotSig
d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurovaceae,g__Sulfurovum,0,NotSig,2.8229129169828715,Wild,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thalassobius,0,NotSig,2.7787106884523713,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,o__Micavibrionales,o__Micavibrionales,0,NotSig,2.7667690738192063,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__OM182_clade,f__OM182_clade,g__OM182_clade,0,NotSig,2.7458706660754504,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__BD7-8,f__BD7-8,g__BD7-8,0,NotSig,2.7277968034291726,Wild,2.8007289442401055,Wild
d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__Vicingus,0,NotSig,2.7276846426385775,Tank,0,NotSig
d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria,0,NotSig,2.707689067931405,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Francisellales,f__Francisellaceae,g__Francisella,0,NotSig,2.703457581119411,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__Micavibrionaceae,f__Micavibrionaceae,0,NotSig,2.6888131581161945,Tank,0,NotSig
d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,g__Sulfurimonas,0,NotSig,2.6530466492162375,Wild,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae,g__Halioxenophilus,0,NotSig,2.6079752551396433,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Nitrincolaceae,g__Marinobacterium,0,NotSig,2.587096145120064,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Sulfitobacter,0,NotSig,2.5447352936764545,Tank,0,NotSig
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Marinobacteraceae,g__Marinobacter,0,NotSig,2.502188737743332,Tank,0,NotSig
d__Bacteria,p__Firmicutes,c__Bacilli,o__Entomoplasmatales,f__Entomoplasmatales_Incertae_Sedis,g__Candidatus_Hepatoplasma,0,NotSig,0,NotSig,5.242204138632762,Wild
d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,0,NotSig,0,NotSig,4.323415151767499,Tank
d__Bacteria,p__Firmicutes,c__Bacilli,c__Bacilli,c__Bacilli,c__Bacilli,0,NotSig,0,NotSig,3.930949628068538,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,0,NotSig,0,NotSig,3.824171915712092,Tank
d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,0,NotSig,0,NotSig,3.7028338350350123,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,0,NotSig,0,NotSig,3.419925943099672,Wild
d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadales,g__Saccharimonadales,0,NotSig,0,NotSig,3.2316044747232104,Tank
d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,0,NotSig,0,NotSig,3.119023092017918,Tank
d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,0,NotSig,0,NotSig,2.9671999089633663,Tank
d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Brevibacteriaceae,g__Brevibacterium,0,NotSig,0,NotSig,2.840032313020085,Wild