＃NAME,Name,Type,Treatment,environment,Group,All_type,All_type_wild,Group1,Group2,Group3
L1A,L1A,coral,Lobo,tank,week1,tank_1,wild,Tank,NA,NA
L1B,L1B,coral,Lobo,tank,week1,tank_1,wild,Tank,NA,NA
L1C,L1C,coral,Lobo,tank,week1,tank_1,wild,Tank,NA,NA
L2A,L2A,coral,Lobo,tank,week2,tank_2,tank,NA,NA,NA
L2B,L2B,coral,Lobo,tank,week2,tank_2,tank,NA,NA,NA
L2C,L2C,coral,Lobo,tank,week2,tank_2,tank,NA,NA,NA
L3A,L3A,coral,Lobo,tank,week3,tank_3,tank,NA,NA,NA
L3B,L3B,coral,Lobo,tank,week3,tank_3,tank,NA,NA,NA
L3C,L3C,coral,Lobo,tank,week3,tank_3,tank,NA,NA,NA
L4A,L4A,coral,Lobo,tank,week4,tank_4,tank,NA,NA,NA
L4B,L4B,coral,Lobo,tank,week4,tank_4,tank,NA,NA,NA
L4C,L4C,coral,Lobo,tank,week4,tank_4,tank,NA,NA,NA
L5A,L5A,coral,Lobo,tank,week5,tank_5,tank,NA,NA,NA
L5B,L5B,coral,Lobo,tank,week5,tank_5,tank,NA,NA,NA
L5C,L5C,coral,Lobo,tank,week5,tank_5,tank,NA,NA,NA
L6A,L6A,coral,Lobo,tank,week6,tank_6,wild,NA,Tank,NA
L6B,L6B,coral,Lobo,tank,week6,tank_6,wild,NA,Tank,NA
L6C,L6C,coral,Lobo,tank,week6,tank_6,wild,NA,Tank,NA
L7A,L7A,coral,Lobo,tank,week7,tank_7,tank,NA,NA,NA
L7B,L7B,coral,Lobo,tank,week7,tank_7,tank,NA,NA,NA
L7C,L7C,coral,Lobo,tank,week7,tank_7,tank,NA,NA,NA
L8A,L8A,coral,Lobo,tank,week8,tank_8,tank,NA,NA,NA
L8B,L8B,coral,Lobo,tank,week8,tank_8,tank,NA,NA,NA
L8C,L8C,coral,Lobo,tank,week8,tank_8,tank,NA,NA,NA
L9A,L9A,coral,Lobo,tank,week9,tank_9,tank,NA,NA,NA
L9B,L9B,coral,Lobo,tank,week9,tank_9,tank,NA,NA,NA
L9C,L9C,coral,Lobo,tank,week9,tank_9,tank,NA,NA,NA
L10A,L10A,coral,Lobo,tank,week10,tank__10,wild,NA,NA,NA
L10B,L10B,coral,Lobo,tank,week10,tank__10,wild,NA,NA,NA
L10C,L10C,coral,Lobo,tank,week10,tank__10,wild,NA,NA,NA
L11A,L11A,coral,Lobo,tank,week11,tank_11,tank,NA,NA,NA
L11B,L11B,coral,Lobo,tank,week11,tank_11,tank,NA,NA,NA
L11C,L11C,coral,Lobo,tank,week11,tank_11,tank,NA,NA,NA
L12A,L12A,coral,Lobo,tank,week12,tank_12,tank,NA,NA,NA
L12B,L12B,coral,Lobo,tank,week12,tank_12,tank,NA,NA,NA
L12C,L12C,coral,Lobo,tank,week12,tank_12,tank,NA,NA,NA
LW0A,LW0A,coral,Lobo,wild,week0,wild_0,wild,Wild,Wild,Wild
LW0B,LW0B,coral,Lobo,wild,week0,wild_0,wild,Wild,Wild,Wild
LW0C,LW0C,coral,Lobo,wild,week0,wild_0,wild,Wild,Wild,Wild
LW1A,LW1A,coral,Lobo,wild,week6,wild_6,wild,Wild,Wild,Wild
LW1B,LW1B,coral,Lobo,wild,week6,wild_6,wild,Wild,Wild,Wild
LW1C,LW1C,coral,Lobo,wild,week6,wild_6,wild,Wild,Wild,Wild
LWFA,LWFA,coral,Lobo,wild,week19,wild_19,wild,Wild,Wild,Wild
LWFB,LWFB,coral,Lobo,wild,week19,wild_19,wild,Wild,Wild,Wild
LWFC,LWFC,coral,Lobo,wild,week19,wild_19,wild,Wild,Wild,Wild
L13A,L13A,coral,Lobo,tank,week19,tank_19,wild,NA,NA,Tank
L13B,L13B,coral,Lobo,tank,week19,tank_19,wild,NA,NA,Tank
L13C,L13C,coral,Lobo,tank,week19,tank_19,wild,NA,NA,Tank