#OTU,L01A,L01B,L01C,L02A,L02B,L02C,L03A,L03B,L03C,L04A,L04B,L04C,L05A,L05B,L05C,L06A,L06B,L06C,L07A,L07B,L07C,L08A,L08B,L08C,L09A,L09B,L09C,L10A,L10B,L10C,L11A,L11B,L11C,L12A,L12B,L12C,L13A,L13B,L13C,LW0A,LW0B,LW0C,LW1A,LW1B,LW1C,LWFA,LWFB,LWFC,S01A,S01B,S01C,S02A,S02B,S02C,S03A,S03B,S03C,S04A,S04B,S04C,S05A,S05B,S05C,S06A,S06B,S06C,S07A,S07B,S07C,S08A,S08B,S08C,S09A,S09B,S09C,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
His,0,2.664275037,2.565242165,5.867826087,2.298666667,2.394444444,4.384350548,2.779012346,2.820987654,1.879012346,0,4.611111111,0,2.917209302,0,1.417304965,1.573333333,2.234817814,10.56790123,3.674074074,9.794033722,2.617366947,0,1.631111111,2.603733333,1.934177215,4.148292683,3.479820628,5.078624813,6.04245142,4.447234679,2.818535127,0,2.370104634,2.732436472,1.562929746,3.967713004,2.303139013,0,2.853213752,3.073243647,3.201195815,3.179671151,0,2.264872945,9.568908819,5.484005979,2.820926756,2.250666667,4.075516224,8.200281294,4.329411765,3.317857143,6.902564103,6.072274143,2.463768116,1.647536232,9.821449275,5.548258706,4.026046512,1.167179487,2.447953216,3.23974359,0,2.493492696,2.45203252,8.774492754,3.226666667,2.219047619,3.301925926,6.429239766,3.589565217,6.139055794,3.621122112,2.446376812,1.658566978,1.719626168,3.375700935,5.117757009,3.415576324,6.367601246,10.06479751,0,4.540809969,9.015576324,3.700934579,1.607476636,4.897196262,9.004361371,5.528971963,2.952024922,4.039875389,2.323987539,3.435514019,13.1788162,2.034890966
Asn,0,0,4.113960114,4.20173913,4.068266667,3.79,0,2.577777778,0,0,0,4.222222222,1.77865353,3.377364341,0,1.898439716,0,4.159784076,4.167901235,3.177777778,10.48923476,2.578151261,0,1.67,2.350933333,1.963431786,5.848455285,0,2.457399103,0,3.614947683,0,0,2.889088191,0,0,0,0,3.806278027,0,3.110313901,0,0,0,0,0,0,0,0,0,0,0,0,0,3.442990654,0,0,2.889275362,0,0,0,0,1.744871795,0,0,0,4.374492754,0,1.411640212,0,0,1.383188406,1.936480687,0,0,0,0,1.390654206,0,0,0,0,0,0,3.191277259,0,0,1.78317757,3.769470405,0,0,2.523364486,0,2.795015576,0,3.501557632
Tau,438.4340675,477.1455904,359.5692308,377.6428986,351.2608,242.3922222,425.6237872,370.2333333,210.3111111,234.4567901,186.820202,217.3382716,227.3142857,328.248062,251.9272727,249.2414184,203.1957333,195.168691,511.0395062,428.8209877,442.1509728,304.1165266,284.9471646,242.6033333,278.2794667,247.9144866,236.7037398,320.9901345,386.3772795,330.7695067,364.8633782,321.9910314,285.9300448,359.3566517,441.0881913,290.090284,262.9189836,389.8224215,408.3384155,493.4565022,469.3321375,258.3509716,412.5010463,326.0484305,437.7219731,372.4412556,395.5073244,583.1258595,20.52503704,33.11032448,35.66469761,43.24481793,21.03095238,37.42792023,60.39626168,7.697391304,41.30318841,91.15942029,37.11310116,26.61705426,4.353846154,13.17660819,17.24871795,6.353363229,3.697211155,14.27121951,120.5947826,18.28521739,9.738624339,43.1597037,15.97660819,12.18666667,128.8057225,5.605280528,13.38181818,7.575077882,20.04859813,22.01619938,18.9894081,31.74080997,57.86292835,60.1694704,9.558878505,44.79750779,85.22866044,20.46728972,11.69968847,121.7420561,138.9943925,101.0766355,33.21121495,90.62429907,59.83925234,70.95327103,30.11214953,114.0934579
Ser,5.358002937,0,2.52991453,3.022608696,2.625066667,2.455555556,0,3.856790123,2.102469136,2.965432099,2.019047619,2.598765432,0,2.845271318,0,1.855319149,0,1.818083671,3.87654321,2.685185185,3.248767834,2.116526611,1.7604426,1.696666667,1.7376,2.204219409,3.87902439,0,2.480119581,2.932137519,0,1.759043348,0,3.783557549,2.763527653,0,0,3.707025411,4.908819133,2.449028401,4.695964126,0,2.684603886,2.124962631,2.867563528,2.371300448,4.692376682,0,0,2.387020649,2.689170183,2.26442577,0,3.75954416,4.160747664,1.311304348,1.873623188,5.535072464,2.917412935,0,0,1.621052632,2.452564103,0,0,1.83804878,4.473043478,2.422028986,2.160846561,1.703111111,2.078362573,2.662028986,4.304434907,3.906270627,1.333333333,0,4.147040498,3.120249221,2.426168224,2.788785047,2.034890966,3.231152648,0,2.508411215,4.882242991,2.908411215,3.329595016,7.742056075,9.305919003,5.6,4.082242991,6.61682243,3.766978193,5.466666667,0,6.447352025
Gln,25.74684288,19.07443946,45.37663818,28.66550725,19.74613333,26.44222222,29.60250391,21,15.9654321,13.01975309,12.8958153,25.02469136,16.81707718,28.09302326,14.73684211,18.83347518,18.01493333,13.57192982,43.80617284,27.4654321,34.42386511,22.47507003,10.18091286,14.38777778,21.2864,11.77158931,19.76455285,17.01165919,18.98116592,25.25799701,14.84245142,16.53811659,6.501644245,20.07414051,17.94678625,5.183856502,16.42690583,5.834379671,23.0122571,25.73632287,27.15575486,9.236472347,23.60059791,11.65799701,18.31270553,20.42929746,17.79491779,32.46756353,4.683851852,11.20353982,9.557243319,8.370868347,9.719047619,8.525356125,12.93582555,4.664347826,2.977391304,12.25971014,15.08192371,10.66542636,1.692307692,7.735672515,15.71410256,2.747982063,1.597875166,8.054634146,21.21507246,9.788985507,13.45185185,3.516444444,2.776608187,9.496811594,12.64206009,3.353135314,5.400790514,1.35576324,6.205607477,11.80062305,4.175700935,5.602492212,5.465420561,10.22554517,2.137071651,4.412461059,24.28660436,2.630529595,5.196261682,19.31339564,28.19688474,11.80186916,12.85981308,24.41121495,5.906542056,11.88411215,12.0623053,25.27725857
Arg,0,0,0,0,0,0,3.972456964,2.77037037,0,1.241975309,1.311399711,1.490123457,1.379310345,5.838139535,0,0,0,1.818083671,0,0,0,0,0,0,2.4032,1.269198312,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857100149,0,0,0,0,0,0,6.549476831,0,2.043259259,0,6.773558368,3.905882353,0,0,9.344548287,0,1.6,10.75594203,0,4.853333333,0,0,0,0,0,0,0,0,0,2.952296296,0,0,0,0,0,1.330841121,0,0,0,0,0,5.647352025,0,0,14.15077882,0,1.659813084,2.361370717,1.547663551,0,0,0,1.734579439,2.209345794,0,0
Gly,17.69045521,2.917787743,4.276923077,3.210434783,5.777066667,3.35,6.923317684,3.979012346,2.948148148,4.333333333,2.85021645,4.27654321,1.748440066,4.178604651,2.179266348,1.857588652,2.328533333,3.995681511,6.161728395,4.341975309,5.687159533,3.596638655,3.469986169,3.778888889,3.1904,2.868073136,3.944065041,3.738116592,4.351569507,3.89715994,4.260687593,3.470254111,3.033781764,4.257100149,5.747085202,2.67264574,3.803886398,4.253512706,3.942600897,3.032585949,4.575186846,2.394020927,2.932137519,3.397309417,4.626606876,3.376980568,9.32735426,4.559641256,2.991407407,4.921533923,3.526300985,5.096918768,3.304761905,7.033618234,13.60996885,2.834782609,1.913043478,12.58434783,20.94063018,4.054573643,0.82974359,3.276023392,3.585897436,0,1.17184595,2.721300813,7.416811594,3.858550725,2.695238095,2.332444444,3.278362573,3.56057971,6.532761087,2.646864686,2.363109354,1.563862928,6.34517134,5.436760125,3.900311526,5.707165109,7.948909657,5.892834891,1.759501558,6.64423676,9.845482866,4.608099688,3.914018692,7.936448598,9.803115265,6.462305296,3.25482866,6.95576324,8.618068536,4.387538941,6.603115265,7.712149533
Asp,3.736857562,4.218834081,4.582336182,3.47826087,3.438933333,4.74,4.353051643,3.564197531,3.043209877,4.017283951,3.949206349,3.840740741,3.704433498,4.31255814,2.294098884,3.364539007,5.28,3.462348178,5.265432099,3.855555556,4.251102464,3.08907563,3.558506224,3.256666667,3.236266667,2.895077356,3.45495935,2.805381166,2.637967115,5.810463378,4.606278027,3.221524664,3.546786248,3.898355755,4.801195815,2.254110613,2.635575486,4.071748879,3.347085202,4.353961136,3.556352765,2.843647235,6.102242152,3.952167414,4.165022422,2.880717489,4.436472347,6.429895366,1.936592593,2.407079646,2.864697609,4.38767507,1.536904762,3.946438746,6.629283489,1.595362319,2.112463768,9.296231884,8.551907131,3.335193798,0,0,3.294871795,0,0,2.085203252,4.110144928,1.713623188,1.068783069,4.54637037,0,2.651594203,4.500143062,0,2.172332016,0,0,3.910280374,1.634890966,7.876635514,8.023676012,7.902803738,0,6.200623053,8.876012461,0,1.283489097,9.825545171,10.58442368,8.041121495,1.297196262,7.064174455,3.93271028,5.036760125,5.515264798,6.686604361
Glu,4.919823789,5.136023916,5.050712251,2.84173913,2.618666667,2.952222222,4.122691706,5.743209877,2.680246914,2.081481481,1.37027417,5.166666667,3.288013136,4.385736434,3.876236045,2.637163121,3.246933333,3.546558704,7.387654321,4.598765432,6.199740597,3.652661064,3.038450899,4.111111111,4.193066667,3.438537271,3.873821138,17.03796712,11.0696562,10.23139013,13.22690583,8.590732436,12.55127055,12.11599402,13.24125561,12.30493274,12.52496263,14.28759342,13.47204783,15.25500747,15.54917788,13.87982063,2.136920777,1.962331839,4.046636771,2.309118087,2.954857997,3.032585949,8.333037037,1.687315634,2.749929677,2.401120448,1.798809524,4.082051282,4.355140187,1.126956522,1.935072464,3.953623188,4.090215589,1.807131783,4.48,1.407017544,3.175641026,8.454409567,5.002921647,2.346666667,5.682318841,2.459130435,3.073015873,2.021925926,1.446783626,2.204057971,5.500429185,7.104950495,1.624242424,4.702803738,10.38380062,6.645482866,10.49345794,9.024299065,8.512149533,16.36884735,9.54517134,12.23426791,14.68161994,9.335825545,8.638006231,5.987538941,11.02180685,4.201869159,2.945794393,4.371339564,2.179439252,3.107788162,3.78317757,6.741433022
Thr,4.142143906,4.444843049,2.083190883,12.48811594,1.626666667,1.457777778,2.542723005,1.580246914,1.261728395,1.255555556,1.221356421,1.722222222,7.348440066,2.151937984,3.823923445,0.935035461,0.888533333,1.076383266,2.960493827,10.53333333,1.681971466,10.18039216,5.235961272,1.201111111,8.983466667,4.876511955,1.611707317,0,0,1.891778774,0,0,0,1.998206278,0,0,0,0,0,0,1.781763827,0,14.645142,11.44633782,7.256203288,11.11629297,8.915994021,0,0,0,1.263572433,1.808403361,0,0,2.469781931,0.606376812,0,2.027826087,1.943615257,0,0,0,1.319230769,0,0,0,0,1.329855072,0,1.69837037,0,0.861449275,1.640057225,0,1.117259552,0,0,1.541433022,0,0,0,1.525233645,0,0,3.276012461,0,0,1.824299065,1.491588785,1.474143302,1.087850467,1.313395639,1.724610592,1.47165109,0,2.40623053
Ala,5.892511013,2.542301943,2.854700855,3.857391304,3.162666667,3.036666667,3.912363067,3.045679012,1.392592593,2.37654321,2.363059163,2.402469136,1.509359606,2.811782946,3.175757576,1.592056738,2.379733333,1.279352227,4.350617284,2.419753086,3.654474708,2.650980392,2.065836791,1.614444444,2.020266667,2.625035162,3.415934959,3.35426009,3.312406577,2.686995516,3.440358744,3.400896861,154.6367713,2.594917788,2.474140508,142.5279522,1.776980568,2.017339312,1.883408072,1.921674141,3.515695067,2.457399103,3.106726457,3.093572496,5.041554559,3.443946188,4.74857997,6.030493274,1.888,3.248377581,2.760056259,2.494117647,1.91547619,4.332763533,4.812461059,1.168695652,2.076521739,7.327536232,2.920066335,2.271007752,0.733333333,1.6,3.105128205,1.323766816,0.920053121,1.879674797,4.125217391,2.140289855,1.627513228,1.665185185,1.523976608,2.499710145,3.363662375,1.667326733,1.813965744,1.386915888,2.636760125,4.566978193,3.773208723,2.093457944,2.633021807,2.980685358,2.831152648,2.296573209,3.213707165,2.725233645,3.558878505,8.346417445,7.733333333,5.576323988,2.770093458,8.314018692,5.705919003,3.671028037,2.06728972,5.638629283
GABA,5.901908957,5.235276532,3.333333333,3.510724638,1.9424,3.608888889,2.955868545,4.514814815,2.125925926,4.80617284,4.251659452,4.380246914,3.399671593,9.174573643,3.109409888,3.083120567,9.130666667,1.448852901,4.086419753,13.25802469,3.719844358,2.99047619,9.521438451,13.28111111,3.268266667,1.478481013,1.579186992,4.926756353,3.936621824,3.289686099,4.314499253,3.349476831,2.861584454,4.313303438,2.246935725,10.31390135,3.876831091,6.999103139,2.280418535,2.694170404,0,8.417339312,12.08011958,10.00298954,4.418535127,4.785650224,1.696860987,3.595814649,3.917037037,3.839528024,1.239943741,1.202240896,4.254761905,4.291737892,2.220560748,11.07710145,5.628985507,2.935652174,7.876616915,5.891472868,9.305641026,4.540350877,5.112820513,4.383856502,13.50119522,4.646504065,1.526956522,3.493333333,3.675132275,3.108740741,4.136842105,3.539710145,5.852932761,12.30627063,3.466666667,7.897819315,1.980062305,1.51152648,2.489719626,2.530841121,2.649221184,0,0,1.379439252,3.248598131,0,0,1.340809969,1.405607477,0,2.963239875,1.051713396,4.418691589,1.183800623,5.160124611,1.213707165
Pro,0,2.360538117,3.415384615,3.128115942,3.947733333,2.898888889,2.247261346,1.67654321,1.434567901,1.402469136,1.997113997,2.04691358,1.682758621,0,0,1.38212766,1.928533333,1.466126856,2.354320988,0,3.508171206,1.951820728,0,0,1.44,1.876793249,1.877073171,0,2.441853513,2.507623318,1.932436472,2.234977578,0,0,0,0,1.634678625,0,2.341405082,5.225710015,2.969207773,1.748281016,1.817638266,0,2.113004484,2.217040359,3.321973094,2.785052317,1.504,1.767551622,2.454008439,3.717647059,0,1.645584046,3.922741433,0,0,6.847536232,0,1.853023256,0,0,1.06025641,0,0,0,2.752463768,1.327536232,0.989417989,1.898666667,0,1.148985507,2.489270386,0,1.05085639,0,0,2.803738318,0,1.710903427,1.576323988,3.489096573,0,0,7.101557632,1.237383178,1.150155763,5.925233645,5.121495327,5.333333333,2.341433022,9.003115265,2.49470405,2.434890966,1.85046729,3.2
Cys,0,3.258594918,4.099145299,0,3.012266667,3.262222222,0,2.697530864,1.945679012,0,2.374603175,3.734567901,2.339573071,2.615813953,3.982137161,2.493049645,2.106666667,1.71120108,3.803703704,3.116049383,3.067185473,3.507002801,3.109266943,1.885555556,2.740266667,2.71954993,3.341788618,0,2.957249626,2.505231689,2.983557549,1.814050822,2.618834081,4.107623318,3.4367713,4.228400598,3.843348281,2.855605381,2.653512706,3.380568012,3.509715994,2.477727952,2.340209268,0,0,3.606576981,2.658295964,4.801195815,2.032592593,4.066076696,4.754992968,4.817927171,3.460714286,4.598290598,6.043613707,2.124057971,2.12173913,5.814492754,4.262686567,5.59503876,1.990769231,2.755555556,2.882051282,0,2.202390438,3.020487805,4.178550725,3.270724638,2.64973545,4.086518519,3.329824561,2.224927536,3.639484979,4.621782178,1.829776021,0.918380062,1.915264798,2.968224299,3.086604361,4.902180685,8.557009346,4.945794393,2.256697819,10.44361371,7.272274143,2.058566978,2.740186916,3.779439252,2.143302181,3.74953271,1.735825545,1.88411215,2.201869159,2.11588785,4.925856698,1.673520249
Lys,4.87753304,5.081016442,327.9669516,4.780289855,113.8848,292.15,5.175586854,4.171604938,3.339506173,191.754321,105.2121212,4.739506173,3.490311987,4.348527132,4.87400319,3.524539007,104.3274667,24.45128205,379.7864198,33.77160494,27.51024643,426.2957983,120.8918396,24.79777778,215.3845333,29.18030942,13.00422764,4.479521674,19.64005979,92.55246637,3.674738416,33.8941704,27.54439462,4.912406577,34.71569507,22.64992526,4.662481315,52.35754858,45.25321375,69.12526158,25.73991031,3.465470852,49.63946188,15.65919283,15.65082212,82.94170404,37.77817638,39.84095665,36.32,3.845427729,3.003094233,20.02240896,3.80952381,20.06267806,18.30778816,6.018550725,15.50376812,19.54898551,4.362189055,3.149147287,1.243076923,2.304093567,2.483333333,10.23497758,6.62310757,2.517073171,3.224347826,19.29507246,2.346031746,20.49422222,12.27251462,9.144347826,16.31473534,10.92805281,7.288537549,1.127725857,11.29345794,2.169470405,2.540809969,23.80436137,30.75514019,13.50404984,2.414953271,34.88099688,16.02990654,1.516510903,2.2105919,16.25046729,17.01433022,3.568847352,1.47788162,13.39065421,4.656697819,7.021806854,23.62866044,20.66915888
Tyr,27.69104258,18.67144993,0,8.684057971,1.576533333,0,10.87574335,7.085185185,1.14691358,0,0,0.760493827,0.748768473,0,2.054226475,0,0.6016,0,0,0,1.012710765,0,0,0,0.689066667,0,0,11.22391629,0,0,11.6328849,0,0,3.934230194,0,0,5.330941704,0,0,0,0,3.3877429,1.009267564,0,0.990134529,1.100149477,8.147085202,0,4.091259259,0.779941003,0.75161744,0.783193277,11.11785714,1.138461538,1.415576324,4.493913043,2.316521739,14.76521739,2.551243781,7.987596899,2.435897436,7.486549708,0.641025641,1.882212257,4.733067729,0.655609756,1.048115942,5.362318841,6.058201058,0.715851852,6.184795322,0.570434783,0.985407725,2.690429043,3.772332016,0.709034268,2.656697819,4.777570093,4.743925234,2.520872274,9.212461059,13.86666667,3.406853583,16.42741433,19.8105919,3.065420561,3.866666667,6.114641745,6.934579439,3.066666667,2.144548287,4.395015576,2.238006231,5.651090343,11.80934579,3.087850467
Met,1.480176211,1.238863976,3.302564103,0,2.9408,2.58,1.313302034,0.809876543,1.040740741,0.659259259,0.858874459,1.960493827,1.27816092,0.96744186,2.12185008,1.282269504,0.744533333,1.365721997,3.512345679,1.195061728,4.582101167,0.687955182,0.780082988,0,0.6592,1.713642757,0.862439024,0.974588939,1.971898356,2.289985052,1.745889387,1.423019432,0.988938714,1.608370703,1.297458894,1.035575486,1.898953662,0,0.771300448,1.879820628,3.990433483,0,1.806875934,0.724663677,2.188340807,1.773393124,5.05470852,1.205381166,0.503703704,0.81179941,0.864135021,0.564705882,0.566666667,6.787464387,1.158878505,0,0,0.788405797,3.188059701,0.721860465,0,0.466666667,0.666666667,0,0,0.731056911,0.706086957,0,0.494179894,1.048888889,0.726315789,0.467246377,0.864091559,0.44620462,0.417391304,0.285358255,0,0.750155763,0.613084112,3.099065421,6.763862928,1.08411215,0,7.019314642,1.345794393,0,0.46728972,0.65046729,0,0.859813084,0,0,0,0.477258567,16.77009346,0.594392523
Val,3.319823789,3.080418535,3.458689459,2.535652174,2.6112,2.662222222,2.979655712,3.474074074,1.671604938,2.312345679,3.138816739,2.420987654,1.538259442,3.166511628,2.013397129,2.347801418,1.914666667,1.730634278,4.844444444,3.097530864,3.803891051,3.256022409,2.146611342,1.857777778,2.110933333,1.969057665,2.513170732,2.317488789,2.190732436,3.363826607,2.970403587,2.187144993,2.36651719,3.093572496,2.966816143,1.946786248,2.309118087,2.310313901,2.73961136,2.457399103,2.481315396,1.765022422,3.408071749,2.193124066,3.040956652,3.797907324,3.701046338,5.086995516,2.820740741,2.028318584,5.722644163,10.58487395,1.38452381,2.023931624,2.274143302,0.620289855,1.442318841,3.67884058,3.237147595,1.296124031,0.569230769,1.297076023,1.992307692,0.49387145,0.487649402,1.459512195,2.76173913,1.494492754,1.414814815,7.012740741,1.325146199,1.904927536,2.239771102,0.893729373,1.355467721,0.8,1.202492212,2.651713396,1.804361371,2.097196262,1.958878505,1.926479751,0.834890966,2.102180685,3.851713396,1.735825545,1.310903427,2.895950156,2.378816199,2.899688474,1.680996885,3.613707165,1.887850467,1.990031153,2.17694704,2.463551402
Ile,1.466079295,0.844245142,1.345868946,1.033043478,1.137066667,1.026666667,0.692331768,0.769135802,0.443209877,0.941975309,0.539105339,0.901234568,0.47816092,0.921550388,0.514194577,0.58893617,0.477866667,0.625101215,1.412345679,0.808641975,1.615564202,1.090196078,0.701521438,0.457777778,0.661333333,0.655977496,1.15902439,0.099252616,0.082511211,0.114798206,0.086098655,0.087294469,0.058594918,0.117189836,0.093273543,0.046636771,0.057399103,0.078923767,0.117189836,0.093273543,0.108819133,0.064573991,0.106427504,0.093273543,0.127952167,0.12077728,0.173393124,0.1877429,0.625777778,0.849557522,0.946272855,1.132773109,0.492857143,0.607407407,1.839252336,1.190724638,0.750144928,3.171014493,0.780099502,0.64124031,0.805128205,0.334502924,0.551282051,0,0.652324037,0.400650407,1.153623188,0.532173913,0.348148148,0.782222222,0.488888889,0.793043478,0.840057225,1.329372937,0.520685112,0.133333333,0.048598131,0.118380062,0.063551402,0.05482866,0.056074766,0.139563863,0.037383178,0.048598131,0.254205607,0.071028037,0.059813084,0.108411215,0.099688474,0.150778816,0.063551402,0.157009346,0.107165109,0.085981308,0.056074766,0.164485981
Leu,1.964170338,0.935127055,1.384615385,1.433043478,1.4272,1.355555556,1.300782473,1.211111111,0.635802469,1.109876543,0.847330447,0.959259259,0.641050903,1.108837209,0.634130781,0.67858156,0.613333333,0.744939271,1.87654321,0.997530864,2.08767834,1.290756303,0.814384509,0.548888889,0.7808,0.964275668,1.562276423,1.500747384,1.216143498,1.487593423,1.134828102,1.152765321,0.729446936,1.645440957,1.152765321,0.606278027,0.650523169,0.719880419,1.628699552,1.522272048,1.643049327,0.975784753,1.546188341,1.223318386,1.66696562,1.235276532,2.130941704,3.100747384,0.732444444,1.122123894,1.028410689,1.191036415,0.611904762,0.927635328,2.889719626,0.325797101,1.237101449,5.284637681,1.20199005,0.875658915,0.163076923,0.494736842,0.847435897,0,0.16998672,0.565853659,1.917681159,0.563478261,0.589417989,0.988444444,0.555555556,0.861449275,1.295565093,0.348514851,0.559683794,0.265420561,0.566978193,1.280996885,0.625545171,0.908411215,0.85482866,2.269158879,0.391277259,0.795015576,4.028660436,0.809968847,0.68411215,1.875389408,1.646105919,2.024922118,0.775077882,2.446105919,1.515264798,1.216199377,0.760124611,2.335202492
Phe,0.487518355,0,0.350997151,0,1.338666667,3.657777778,1.939280125,0,0.349382716,0,0,0.279012346,0.436124795,1.504496124,0.588197767,0,1.214933333,0.225641026,0.408641975,2.611111111,1.255512322,1.025210084,1.459474412,0.791111111,1.069866667,0.579465541,0.274471545,0.583557549,1.091778774,0.423318386,0,3.153363229,0,1.043946188,0.345590433,0.819133034,0.673243647,0.539312407,2.48490284,0.743796712,0.465171898,0.706726457,0.23916293,0,3.891180867,3.060089686,0,2.05799701,0,0.225368732,0.682981716,0,0.229761905,0.233618234,0,0.376811594,0.384927536,0,0,0.565581395,0.140512821,0.156725146,0.187179487,0,0.199734396,0,0.445217391,0.193623188,0.193650794,0,0.188304094,0.175072464,0.282689557,0.489768977,0.187615283,0.407476636,0.235514019,0.280373832,0.289096573,0.370093458,0.765109034,0,0.242990654,0.274143302,0,0.310280374,0.220560748,0.275389408,0.274143302,0,0.214330218,0.504672897,0,0,0,0.215576324