＃NAME,Name,Type,Time,Treatment,Colony,Environment,Env_Time
L01A,L01A,coral,1,Lobo,1,tank,tank_1
L01B,L01B,coral,1,Lobo,2,tank,tank_1
L01C,L01C,coral,1,Lobo,3,tank,tank_1
L06A,L06A,coral,6,Lobo,1,tank,tank_6
L06B,L06B,coral,6,Lobo,2,tank,tank_6
L06C,L06C,coral,6,Lobo,3,tank,tank_6
L10A,L10A,coral,10,Lobo,1,tank,tank__10
L10B,L10B,coral,10,Lobo,2,tank,tank__10
L10C,L10C,coral,10,Lobo,3,tank,tank__10
LW0A,LW0A,coral,0,Lobo,1,wild,wild_0
LW0B,LW0B,coral,0,Lobo,2,wild,wild_0
LW0C,LW0C,coral,0,Lobo,3,wild,wild_0
LW1A,LW1A,coral,6,Lobo,1,wild,wild_6
LW1B,LW1B,coral,6,Lobo,2,wild,wild_6
LW1C,LW1C,coral,6,Lobo,3,wild,wild_6
LWFA,LWFA,coral,19,Lobo,1,wild,wild_19
LWFB,LWFB,coral,19,Lobo,2,wild,wild_19
LWFC,LWFC,coral,19,Lobo,3,wild,wild_19
L13A,L13A,coral,19,Lobo,1,tank,tank_19
L13B,L13B,coral,19,Lobo,2,tank,tank_19
L13C,L13C,coral,19,Lobo,3,tank,tank_19
S01A,S01A,coral,1,Sclero,1,tank,tank_1
S01B,S01B,coral,1,Sclero,2,tank,tank_1
S01C,S01C,coral,1,Sclero,3,tank,tank_1
S06A,S06A,coral,6,Sclero,1,tank,tank_6
S06B,S06B,coral,6,Sclero,2,tank,tank_6
S06C,S06C,coral,6,Sclero,3,tank,tank_6
S10A,S10A,coral,10,Sclero,1,tank,tank__10
S10B,S10B,coral,10,Sclero,2,tank,tank__10
S10C,S10C,coral,10,Sclero,3,tank,tank__10
SW0A,SW0A,coral,0,Sclero,1,wild,wild_0
SW0B,SW0B,coral,0,Sclero,2,wild,wild_0
SW0C,SW0C,coral,0,Sclero,3,wild,wild_0
SW1A,SW1A,coral,6,Sclero,1,wild,wild_6
SW1B,SW1B,coral,6,Sclero,2,wild,wild_6
SW1C,SW1C,coral,6,Sclero,3,wild,wild_6
SWFA,SWFA,coral,19,Sclero,1,wild,wild_19
SWFB,SWFB,coral,19,Sclero,2,wild,wild_19
SWFC,SWFC,coral,19,Sclero,3,wild,wild_19
S13A,S13A,coral,19,Sclero,1,tank,tank_19
S13B,S13B,coral,19,Sclero,2,tank,tank_19
S13C,S13C,coral,19,Sclero,3,tank,tank_19